person_id,image,name,bio
jim-hall,jim-hall,Jim Hall FREng FRS,"Jim Hall FREng FRS is Professor of Climate and Environmental Risks in the University of Oxford. Prof Hall is internationally recognised for his research on risk analysis and decision making under uncertainty for infrastructure systems, water resource systems, flood and coastal risk management and adaptation to climate change. Professor Hall is a member of the Prime Minister's Council for Science and Technology. He was a Commissioner of the National Infrastructure Commission until 2025 and was President of the Institution of Civil Engineers for the year 2024-25. He was a member of the UK independent Committee on Climate Change Adaptation from 2009-2019, and was Chair of the Science Advisory Committee of the International Institute for Applied Systems Analysis from 2020-22."
julia-pyke,julia-pyke,Julia Pyke CBE,"Julia Pyke CBE is a senior infrastructure leader with extensive experience in the development, financing and delivery of nationally significant infrastructure projects. She joined Agilia Infrastructure Partners as Executive Chair in April 2026. She served as Joint Managing Director of Sizewell C, the new nuclear power station under construction in Suffolk. Julia joined the project in 2017 as Development Director and later became Joint Managing Director, stepping down in December 2025. Prior to that, she spent over two decades at Herbert Smith Freehills, where she became a senior partner and Head of Power and Renewables for Europe. She currently serves as a Clean Power Commissioner for the UK Government and a non-executive director of Studsvik. Julia is a Fellow of the Energy Institute and the Nuclear Institute. She was awarded a CBE in the 2026 King's Birthday Honours for her services to the energy industry."
chetan-kotur,chetan-kotur,Chetan Kotur FREng,"Chetan Kotur FREng, an Automotive Engineer by background, is Head of Technology and Innovation at Laing O'Rourke. His career started with designing cars at Volvo Cars in Gothenburg, Sweden, before accelerating the global shift to sustainable electric mobility by starting up and launching the electric car brand Polestar. At Laing O'Rourke, he leads the team researching and developing transformative innovations in modern methods of construction focused on improving productivity, safety and sustainability on the complex buildings and infrastructure projects Laing O'Rourke delivers for its clients. In 2025, Chetan was elected as one of the youngest ever Fellows of the Royal Academy of Engineering."
travis-mosier,travis-mosier,Travis Mosier,"J. Travis Mosier is a technology, semiconductor, and global policy expert with a distinguished track record in spearheading federal initiatives that have improved market access, increased exports, enhanced the domestic investment climate, and strengthened supply chain resiliency. Mr Mosier serves as an Executive Advisor for Technology Partnerships, Public Policy & Strategy at mySilicon Compass, LLC, a strategic consulting practice that engages clients seeking to advance technological competitiveness, grow international sales and market share, create and foster public-private partnerships, and expand jobs, advanced manufacturing, and research and development investments in emerging growth sectors in the United States."
sebastian-weiske,sebastian-weiske,Sebastian Weiske,"Sebastian Weiske is Senior Manager Strategy Development at Infineon Technologies, a global semiconductor company serving automotive, power-management and Internet of Things markets. He leads macroeconomic and market-intelligence activities within Corporate Strategy, advising senior management on global economic trends, geopolitical developments and market shifts affecting the semiconductor industry. Before joining Infineon, he worked as a macroeconomist and policy adviser at the German Council of Economic Experts. He holds a PhD in Economics from Goethe University Frankfurt."
jagjit-srai,jagjit-srai,Jagjit Singh Srai,"Jagjit Singh Srai is Professor of Manufacturing and Head of the Centre for International Manufacturing at the University of Cambridge's Institute for Manufacturing. His research focuses on the design and operation of global supply chains, particularly the impact of new production and digital technologies on supply chain configuration and resilience. He has published over 100 journal articles, secured major research funding from UKRI, Europe, and industry, and serves on international initiatives including the World Economic Forum's Advanced Manufacturing Council, where he was Co-Chair from 2019-2025. Prior to academia, he held senior supply chain and technical leadership roles at Unilever. He holds degrees from Aston University and the University of Cambridge and is a Chartered Engineer and Fellow of the Institution of Chemical Engineers."
edward-anderson,edward-anderson,Edward Anderson,"Edward Anderson is the Betty and Glenn Mortimer Centennial Professor of Business at the University of Texas at Austin's McCombs School of Business. His research focuses on supply chain innovation, information systems, industrial policy, AI adoption, B2B platforms, and critical minerals. He has studied industries including automotive, electronics, software, and healthcare. Anderson has appeared in major media outlets including the BBC, Associated Press, Yahoo, Fortune, and Fox News, and has testified before the Texas Senate on supply chain disruption. A Fellow of the Production and Operations Management Society, he is also a research affiliate at MIT Sloan. He has authored more than 40 research articles and co-written The Innovation Butterfly and Operations Management for Dummies. Before academia, he worked as a product development engineer at Ford Motor Company and holds degrees from Stanford University and MIT."
nitin-joglekar,nitin-joglekar,Nitin Joglekar,"Nitin Joglekar is the John F. Connelly Endowed Chair in Management at the Villanova School of Business and convener of its Human-Centric and Agentic AI Lab. His research examines AI context estimation, agentic data platforms, AI guardrails, workflow reconfiguration, and industrial policy, with applications in critical minerals, financial services, and retail supply chains. He has more than 20 years of experience in the energy and IT sectors and has founded, advised, and consulted with venture-backed startups and established firms on AI, business strategy, and data platforms. Professor Joglekar serves as Department Editor for Digital Platforms, Innovation and Transformation at Production and Operations Management. He holds a BTech (Hons) from IIT and master's and doctoral degrees from MIT."
sir-mike-gregory,sir-mike-gregory,"Professor Emeritus Sir Mike Gregory CBE, FREng","Following an early career in industry, Professor Emeritus Sir Mike Gregory CBE, FREng was a founder member of the team that established the University of Cambridge's Institute for Manufacturing, linking science, engineering, management and policy while integrating education, research and practice. He retired as Head of the Manufacturing and Management Division in the University of Cambridge's Department of Engineering and as Head of the Institute for Manufacturing. He now chairs the Babbage Policy International Forum."
julia-sutcliffe,,Professor Julia Sutcliffe,"Professor Julia Sutcliffe was appointed Chief Scientific Adviser at the Department for Business and Trade in February 2023. She provides science and engineering advice and independent challenge to ministers and senior officials, champions evidence-based decision-making, and builds internal scientific capability. She works with the network of departmental Chief Scientific Advisers and the Government Office for Science on cross-government issues. Previously, she was Chief Technologist at BAE Systems. She is an Honorary Professor in Computer Science at the University of Manchester, a Chartered Engineer, and a Fellow of the Royal Academy of Engineering and the Royal Aeronautical Society."
eoin-osullivan,,Eoin O’Sullivan,"Eoin O'Sullivan is the Babbage Fellow of Technology and Innovation Policy and Director of the Centre for Science, Technology and Innovation Policy at the University of Cambridge's Institute for Manufacturing. Since joining the Institute in 2007, he has researched how science and engineering R&D is translated into new technologies, industries and economic wealth. His policy work has included studies for UK government departments and research agencies, as well as work with the OECD, European Commission, United Nations Industrial Development Organization and US National Academies."
mike-lewis,,Michael A. Lewis,"Michael A. Lewis is Professor of Operations Management at the University of Bristol. His research examines how firms and industries build capabilities, manage innovation, and respond to technological and geopolitical change. He is co-author of the textbook Operations Strategy and has worked with industry and policymakers on manufacturing competitiveness, supply-chain resilience, and emerging technologies. His current work focuses on the evolution of critical industrial capabilities and the resilience and security of complex supply networks."
saurabh-bansal,saurabh-bansal,Saurabh Bansal,"Saurabh Bansal is Professor of Supply Chain Management at the Smeal College of Business, Pennsylvania State University, and Director of Research at Penn State’s Center for Supply Chain Research. His research examines supply chain and operations management, with a focus on decision-making under risk and uncertainty, forecasting, analytics, and how managers perceive and respond to operational uncertainty. He works with firms to develop data-driven forecasting and optimisation models, and his research spans agribusiness, remanufacturing, circular economy systems, retail operations, and supply chain risk."
laura-dupin,laura-dupin,Laura Dupin,"Laura Dupin is Assistant Professor of Entrepreneurship and Innovation at the University of Amsterdam Business School. Her research examines local, industry-specific firm competitive dynamics using archival, experimental and qualitative methods. Her work has studied the French bread market, the Dutch cannabis coffeeshop industry, and Chicago movie theatres during the transition to sound. Her research has appeared in Administrative Science Quarterly, Organization Studies and Harvard Business Review. She is a member of the Amsterdam Young Academy, a 2024 fellow of the Netherlands Institute for Advanced Study, and a recipient of an NWO Veni grant."
juliane-reinecke,juliane-reinecke,Juliane Reinecke,"Juliane Reinecke is Professor of Management Studies, Academic Area Head for Research, and Faculty Director for Sustainability at Saïd Business School, University of Oxford. She uses qualitative methods to study the emergence and transformation of sustainable industries, including food, garments, minerals and energy, and the roles of collective action, social movements, multi-stakeholder collaboration and transnational governance. Her work has appeared in leading management journals. She received her MPhil and PhD from the University of Cambridge and previously held professorships at King's College London and the University of Warwick."
simon-bachelor,,Simon Bachelor,"Simon Bachelor is Head of the Drones Programme at British Transport Police, leading the development of drone capabilities to improve safety, security and operational efficiency across the UK's rail network. He oversees the delivery of the Beyond Visual Line of Sight programme and works with the Civil Aviation Authority, Network Rail and industry partners. With more than 30 years of policing experience, he has held operational, strategic, counter-terrorism and national-security roles, including work with the Home Office Counter Drones Unit and the National Police Chiefs' Council's Counter Drones portfolio."
sofia-stayte,,Sofia Stayte,"Sofia Stayte is Head of the Aviation Skills and Future of Flight Branch within the UK Department for Transport's Aviation Safety, Innovation and Skills Division. She leads policy development at the intersection of emerging aviation technologies, workforce capability and regulation, including drones, advanced air mobility and future-flight systems. Her government experience spans pensions, skills and employment policy, rail workforce strategy, aviation Brexit negotiations and aviation consumer policy. She is a member of the Government Policy Profession and the Chartered Institute of Public Finance and Accountancy."
katie-hore,,Dr Katie Hore,"Dr Katie Hore is Innovation Director at REWIRE, the UK's Innovation and Knowledge Centre for next-generation power semiconductors. REWIRE brings together the Universities of Bristol, Cambridge and Warwick with industry partners to accelerate the development and commercialisation of ultra-wide-bandgap semiconductor devices. She has more than a decade of semiconductor-industry experience spanning power electronics, optoelectronics and quantum technologies, and holds a DPhil in Chemistry from the University of Oxford."
